"tTipoAparato","iNumFases","tTipoArreglo","tTipoOptimizador","dRelTransformacion","bLlevaTerciario","IDevCercano","dVoltajeSistAT","dVoltajeSistATInterfaz","dVoltajePrefallaRL","bTerciarioExt","bTerciarioCargado","tNormaGar","MSNM"
"2","3","16","1","1","0",NA,400,400,"100","0","0","0","1000"
"2","3","16","1","1","0",NA,345,345,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,230,230,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,230,230,"100","0","0","0","2069"
"2","3","16","2","1","0",NA,23,23,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,230,230,"100","0","0","3","2500"
"2","3","17","1","1","0",NA,115,115,"100","0","0","3","2500"
"1","3","5","1","1","1",NA,400,400,"100","1","1","6","1000"
"2","3","3","1","1","1",NA,115,115,"100","0","0","6","1000"
"2","3","17","1","1","0",NA,18,18,"100","0","0","3","2500"
"2","3","19","1","1","0",NA,115,115,"100","0","0","3","2500"
"2","3","3","1","1","1",NA,345,345,"105","0","0","0","1000"
"2","1","14","1","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","14","1","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,230,230,"110","0","0","2","1226"
"2","3","17","1","1","0",NA,115,115,"100","0","0","0","1000"
"1","3","12","1","1","1",NA,69,69,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,230,230,"100","1","1","3","2500"
"2","3","17","1","1","0",NA,122,122,"110","0","0","1","1000"
"2","3","19","1","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,345,345,"100","0","0","0","1000"
"2","3","4","1","1","1",NA,240,240,"105","0","0","1","1000"
"2","3","17","1","1","0",NA,85,85,"100","0","0","3","2500"
"1","3","10","1","1","1",NA,161,161,"100","1","1","0","1000"
"2","3","14","1","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","1","1","0",NA,34.5,34.5,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,115,115,"100","0","0","0","1000"
"1","1","5","1","1","1",NA,230,230,"100","1","1","3","2500"
"2","3","3","1","1","1",NA,250,250,"110","0","0","1","1000"
"2","1","14","1","1","0",NA,500,500,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,230,230,"110","0","0","2","1000"
"1","3","11","1","1","1",NA,161,161,"105","1","1","0","1524"
"2","3","18","2","1","0",NA,161,161,"105","0","0","0","1000"
"2","3","19","2","1","0",NA,161,161,"100","0","0","0","1000"
"2","3","16","3","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1800"
"2","3","16","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,161.7,161.7,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,161,161,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","16","1","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","2000"
"2","3","18","2","1","0",NA,85,85,"100","0","0","0","2300"
"2","3","7","1","1","1",NA,120,120,"100","0","0","0","1500"
"2","3","16","2","1","0",NA,24.9,24.9,"100","0","0","0","1000"
"2","3","16","1","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","16","1","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,44,44,"100","0","0","0","1000"
"2","3","19","0","1","0",NA,115,115,"100","0","0","6","2500"
"2","3","16","2","1","0",NA,115,115,"100","0","0","6","1000"
"2","3","16","2","1","0",NA,115,115,"100","0","0","6","1000"
"2","3","18","2","1","0",NA,115,115,"100","0","0","0","1650"
"2","3","17","1","1","0",NA,230,230,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,67,67,"100","0","0","0","1500"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,34.5,34.5,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,34.5,34.5,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,13.8,13.8,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,110,110,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,68.8,68.8,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,68.8,68.8,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,69,69,"100","1","1","0","1000"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","16","3","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,13.8,13.8,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,13.8,13.8,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,69,69,"100","0","0","0","1400"
"2","3","16","1","1","0",NA,69,69,"100","0","0","0","1400"
"2","3","16","2","1","0",NA,69,69,"100","0","0","0","1400"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","7","1","1","1",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,69,69,"100","0","0","0","2500"
"2","3","17","1","1","0",NA,115,115,"100","0","0","0","1200"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1250"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,85,85,"100","0","0","0","2500"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,110,110,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,34.5,34.5,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,110,110,"100","0","0","0","1250"
"2","3","17","1","1","0",NA,230,230,"100","0","0","0","2500"
"2","3","16","2","1","0",NA,161,161,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","16","3","1","0",NA,115,115,"100","0","0","0","2300"
"2","3","16","2","1","0",NA,67,67,"100","0","0","0","1300"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,120,120,"100","0","0","0","1500"
"2","3","17","1","1","0","0",138,138,"110","0","0","1","1000"
"2","3","16","3","1","0","1",25,25,"110","0","0","0","1000"
"2","3","16","3","1","0","1",67,67,"100","0","0","0","1000"
"2","3","16","3","1","0","1",115,115,"100","0","0","0","1000"
"2","3","4","1","1","1","0",161,161,"100","1","1","0","1000"
"2","3","16","1","1","0","1",230,230,"100","0","0","0","2350"
"2","3","16","3","1","0","1",25,25,"110","0","0","1","1000"
"2","3","16","3","1","0","1",115,115,"110","0","0","0","1000"
"2","3","3","-1","1","1","0",138,138,"100","1","1","1","1000"
"2","3","16","3","1","0","1",13.8,13.8,"100","0","0","0","1100"
"2","3","16","1","1","0",NA,85,85,"100","0","0","3","2500"
"2","3","18","2","1","0",NA,46,46,"110","0","0","0","1000"
"2","3","18","2","1","0",NA,120,120,"110","0","0","0","1000"
"2","3","18","2","1","0",NA,120,120,"110","0","0","0","1000"
"2","3","18","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","18","2","6","0",NA,138,138,"100","0","0","0","1000"
"2","3","4","1","1","1",NA,230,230,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,120,120,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","18","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","16","1","1","0",NA,230,230,"100","0","0","0","2000"
"2","3","16","1","1","0",NA,230,230,"100","0","0","0","2000"
"2","3","3","1","1","1",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,69,69,"105","0","0","0","1000"
"2","3","18","2","1","0",NA,161,161,"105","0","0","0","1000"
"2","3","16","2","1","0",NA,50.5,50.5,"105","0","0","0","2438"
"2","3","17","1","1","0",NA,230,230,"100","0","0","3","2500"
"2","3","18","2","1","0",NA,69,69,"100","0","0","0","1000"
"2","3","7","1","1","1",NA,161,161,"100","1","1","0","1000"
"2","3","18","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,101.25,101.25,"110","0","0","0","1000"
"2","3","16","2","1","0",NA,101.25,101.25,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,230,230,"100","0","0","2","2200"
"2","3","18","2","1","0",NA,161,161,"100","0","0","0","1000"
"2","3","7","1","1","1",NA,230,230,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,230,230,"100","0","0","0","1000"
"2","3","7","1","1","1",NA,115,115,"100","0","0","0","1000"
"2","3","19","1","1","0",NA,230,230,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,115,115,"100","0","0","0","2050"
"2","3","16","1","1","0",NA,230,230,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","18","2","4","0",NA,115,115,"100","0","0","0","1500"
"1","3","12","1","1","1",NA,230,230,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,345,345,"100","1","1","0","1000"
"2","3","3","1","1","1",NA,345,345,"100","0","0","0","1000"
"2","3","17","1","1","0",NA,25,25,"100","0","0","1","1000"
"1","3","10","1","1","1",NA,138,138,"100","1","1","0","1000"
"2","3","16","2","1","0",NA,66,66,"100","0","0","0","1000"
"1","3","10","1","1","1",NA,138,138,"100","1","1","0","1000"
"1","3","12","1","1","1",NA,161,161,"100","1","1","0","1000"
"2","3","16","2","1","0",NA,67,67,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,138,138,"100","0","0","0","1000"
"2","3","16","3","1","0",NA,138,138,"100","0","0","0","1000"
"2","3","16","2","1","0",NA,115,115,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,138,138,"105","0","0","0","1000"
"2","3","7","1","1","1",NA,138,138,"105","0","0","0","1000"
"2","3","7","1","1","1",NA,138,138,"105","0","0","0","1000"
"2","3","16","2","1","0",NA,33,33,"100","0","0","0","1000"
"2","3","3","1","1","1",NA,161,161,"105","0","0","0","1000"
"2","3","7","1","1","1",NA,161,161,"105","0","0","0","1000"
