"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.568167063406,NA,NA,NA,NA,NA,NA
"2",97.161734473058,NA,NA,NA,NA,NA,NA
"3",96.993345596191,NA,NA,NA,NA,NA,NA
"4",96.927072062324,NA,NA,NA,NA,NA,NA
"5",97.210425232634,NA,NA,NA,NA,NA,NA
"6",97.532325254274,NA,NA,NA,NA,NA,NA
"7",98.119995671932,NA,NA,NA,NA,NA,NA
"8",98.828040467431,98.4565382455223,NA,NA,NA,NA,NA
"9",99.220947846786,98.7205266027994,99.1391141667673,NA,NA,NA,NA
"10",99.73693464618,99.2097300883758,99.5182899646133,99.6373755483112,NA,NA,NA
"11",100.313,99.8252591304008,99.9947512504886,100.123046573640,100.277273244631,NA,NA
"12",100.802,100.498797858279,100.556532690721,100.725786243641,100.922475762293,100.892669046133,NA
"13",100.9,101.047757694104,101.065111986147,101.241845709591,101.465689429790,101.275038837681,101.142609216309
"14",100.965,NA,101.118852109569,101.326079108959,101.620225145780,101.343396900797,101.215621903975
"15",100.983,NA,NA,101.445661098845,101.795630152564,101.354288401577,101.270912382849
"16",100.976,NA,NA,NA,101.926796827761,101.422081800674,101.312632685210
"17",101.566,NA,NA,NA,NA,101.610430189109,101.499231477612
"18",101.862,NA,NA,NA,NA,NA,101.862872785994
